Mercedes-Benz G-класс AMG
"$ 70 000
5 842 200 сом"
2013 г., 5.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 170 000 км
"https://im.mashina.kg/tachka/images//a/f/8/af811f0be4bec1e2bf9a806a81ee98c3_240x180.jpg
https://im.mashina.kg/tachka/images//9/4/6/9469715ae1d471cda242b5753b595f1d_240x180.jpg
https://im.mashina.kg/tachka/images//4/f/c/4fc3a0704370a369def55ae64b1bb8d9_240x180.jpg
https://im.mashina.kg/tachka/images//2/0/b/20b08f14643417084820c9f97aba651e_240x180.jpg
https://im.mashina.kg/tachka/images//8/1/4/814e953b2e780a124ded4c8b3d25ad84_240x180.jpg"
Toyota Camry
"$ 27 300
2 278 458 сом"
2018 г., 2.5 л., автомат, седан, бензин, руль слева, 35 000 км
"https://im.mashina.kg/tachka/images//a/c/e/ace28ec6632fc6bf39b0f54667487815_240x180.jpg
https://im.mashina.kg/tachka/images//e/3/7/e3716353888f524975e64b2388436c81_240x180.jpg
https://im.mashina.kg/tachka/images//f/1/e/f1eaa4465a49b16812c22732a2aee767_240x180.jpg
https://im.mashina.kg/tachka/images//8/0/d/80da2512001e39b6b8fb296252eec4b2_240x180.jpg
https://im.mashina.kg/tachka/images//5/0/c/50c7e0d48413bb35d1bec70d73677093_240x180.jpg"
Subaru Outback
"$ 19 000
1 585 740 сом"
2015 г., 2.5 л., вариатор, универсал, бензин, руль слева, 138 000 км
"https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg
https://im.mashina.kg/tachka/images//4/5/a/45af3b0a2b7a9549cb9dcd7baf303ce2_240x180.jpg
https://im.mashina.kg/tachka/images//8/3/a/83a3d0c750501944a9cf65b943185c3b_240x180.jpg
https://im.mashina.kg/tachka/images//b/a/0/ba09a2e06ac8872414f64dd3f1a9dfd3_240x180.jpg"
Land Rover Defender
"$ 15 000
1 251 900 сом"
2004 г., 2.5 л., механика, внедорожник 5 дв., дизель, руль слева, 166 000 км
"https://im.mashina.kg/tachka/images//1/5/a/15aa752caeec29a696fb794b93f31a52_240x180.jpg
https://im.mashina.kg/tachka/images//6/f/1/6f1d9fea63143314444ca8455b121ff2_240x180.jpg
https://im.mashina.kg/tachka/images//3/4/f/34f33270723426d95f1e439a3211469f_240x180.jpg
https://im.mashina.kg/tachka/images//7/e/3/7e33a5dca33fb1c4f1f8173cf71f0798_240x180.jpg
https://im.mashina.kg/tachka/images//8/2/c/82cb2da79b9f2b998e326e90520cbb32_240x180.jpg"
Kia K5 I Рестайлинг Седан
"$ 12 700
1 059 942 сом"
2014 г., 2 л., автомат, седан, газ, руль слева
"https://im.mashina.kg/tachka/images//8/9/6/896739e1b5f2d0d0657d486e153d3b47_240x180.jpg
https://im.mashina.kg/tachka/images//c/8/0/c80e5a320951486a98f98c063f9aeb20_240x180.jpg
https://im.mashina.kg/tachka/images//a/d/8/ad8d7f0e1839a7efe2a269216dac454c_240x180.jpg
https://im.mashina.kg/tachka/images//8/a/1/8a16d9e2c5a8693e2b03a13506658af3_240x180.jpg
https://im.mashina.kg/tachka/images//3/b/6/3b6e7b510e58eb35ea2ec6bf3bd35279_240x180.jpg"
Lexus RX
"$ 19 300
1 610 778 сом"
2008 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 155 000 км
"https://im.mashina.kg/tachka/images//0/1/9/0191fe63e4836f925fc7d69936352d0c_240x180.jpg
https://im.mashina.kg/tachka/images//2/9/7/2971f068b6d9e6cd0a593205e537b364_240x180.jpg
https://im.mashina.kg/tachka/images//1/e/6/1e6b9e856ff706eb009c8c27f967c6d3_240x180.jpg
https://im.mashina.kg/tachka/images//d/a/5/da58014c3dccccada9a597c5cefcbf96_240x180.jpg
https://im.mashina.kg/tachka/images//7/7/7/777286e2a1b30e2bb2f483e1e2ca8922_240x180.jpg"
Lexus ES
"$ 12 700
1 059 942 сом"
2007 г., 3.5 л., автомат, седан, бензин, руль слева, 160 000 км
"https://im.mashina.kg/tachka/images//f/3/2/f32e4161347ba1cb6e0e201fdad59a0e_240x180.jpg
https://im.mashina.kg/tachka/images//b/1/e/b1ee75fdcd4a18016d86b7d3fd5238c6_240x180.jpg
https://im.mashina.kg/tachka/images//b/f/0/bf0079f2da58fbc6b743b9817c511df8_240x180.jpg
https://im.mashina.kg/tachka/images//f/c/9/fc95016664c0b837d7da799111a6bac8_240x180.jpg
https://im.mashina.kg/tachka/images//e/a/2/ea23b71191f2c5209b7c5aae293785a0_240x180.jpg"
Toyota Avalon
"$ 24 500
2 044 770 сом"
2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 95 000 км
